family,run_id,condition_type,avg_successful_sequence_len,success_len1,success_len2,success_len3,success_len4,success_len5,num_sequences,summary_file,missing
ta_A_seed0_100k,act_ta_a_taskcond_100k_seed0,onehot,0.855,0.525,0.225,0.072,0.025,0.008,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_a_taskcond_100k_seed0/D/calvin_act_ta_a_taskcond_100k_seed0_onehot_D_eval_summary.json,
ta_A_seed0_120k,act_ta_a_taskcond_160k_seed0_ckpt120k,onehot,0.726,0.487,0.161,0.053,0.02,0.005,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_a_taskcond_160k_seed0_ckpt120k/D/calvin_act_ta_a_taskcond_160k_seed0_ckpt120k_onehot_D_eval_summary.json,
ta_A_seed0_140k,act_ta_a_taskcond_160k_seed0_ckpt140k,onehot,0.681,0.451,0.159,0.051,0.016,0.004,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_a_taskcond_160k_seed0_ckpt140k/D/calvin_act_ta_a_taskcond_160k_seed0_ckpt140k_onehot_D_eval_summary.json,
ta_A_seed0_160k,act_ta_a_taskcond_160k_seed0,onehot,0.774,0.482,0.185,0.069,0.029,0.009,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_a_taskcond_160k_seed0/D/calvin_act_ta_a_taskcond_160k_seed0_onehot_D_eval_summary.json,
ta_A_seed1_50k,act_ta_a_taskcond_100k_seed1_ckpt050k,onehot,,,,,,,,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_a_taskcond_100k_seed1_ckpt050k/D/calvin_act_ta_a_taskcond_100k_seed1_ckpt050k_onehot_D_eval_summary.json,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_a_taskcond_100k_seed1_ckpt050k/D/calvin_act_ta_a_taskcond_100k_seed1_ckpt050k_onehot_D_eval_summary.json
ta_A_seed1_100k,act_ta_a_taskcond_100k_seed1,onehot,0.846,0.487,0.219,0.088,0.041,0.011,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_a_taskcond_100k_seed1/D/calvin_act_ta_a_taskcond_100k_seed1_onehot_D_eval_summary.json,
ta_ABC_sbert_seed0_100k,act_ta_abc_lang_sbert_100k_seed0,sbert,0.787,0.477,0.195,0.071,0.032,0.012,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_abc_lang_sbert_100k_seed0/D/calvin_act_ta_abc_lang_sbert_100k_seed0_sbert_D_eval_summary.json,
ta_ABC_sbert_seed0_120k,act_ta_abc_lang_sbert_160k_seed0_ckpt120k,sbert,0.898,0.474,0.238,0.11,0.051,0.025,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_abc_lang_sbert_160k_seed0_ckpt120k/D/calvin_act_ta_abc_lang_sbert_160k_seed0_ckpt120k_sbert_D_eval_summary.json,
ta_ABC_sbert_seed0_140k,act_ta_abc_lang_sbert_160k_seed0_ckpt140k,sbert,0.759,0.45,0.2,0.066,0.028,0.015,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_abc_lang_sbert_160k_seed0_ckpt140k/D/calvin_act_ta_abc_lang_sbert_160k_seed0_ckpt140k_sbert_D_eval_summary.json,
ta_ABC_sbert_seed0_160k,act_ta_abc_lang_sbert_160k_seed0,sbert,0.915,0.483,0.261,0.104,0.045,0.022,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_abc_lang_sbert_160k_seed0/D/calvin_act_ta_abc_lang_sbert_160k_seed0_sbert_D_eval_summary.json,
ta_ABC_sbert_seed1_50k,act_ta_abc_lang_sbert_100k_seed1_ckpt050k,sbert,,,,,,,,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_abc_lang_sbert_100k_seed1_ckpt050k/D/calvin_act_ta_abc_lang_sbert_100k_seed1_ckpt050k_sbert_D_eval_summary.json,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_abc_lang_sbert_100k_seed1_ckpt050k/D/calvin_act_ta_abc_lang_sbert_100k_seed1_ckpt050k_sbert_D_eval_summary.json
ta_ABC_sbert_seed1_100k,act_ta_abc_lang_sbert_100k_seed1,sbert,0.923,0.496,0.235,0.112,0.059,0.021,1000,/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_ta_abc_lang_sbert_100k_seed1/D/calvin_act_ta_abc_lang_sbert_100k_seed1_sbert_D_eval_summary.json,
